"Issue Type","Summary","Epic Name","Epic Link","Description","Story Points","Sprint","Priority","Labels","Reporter"
"Epic","Plataforma y cimientos","Plataforma y cimientos","","Monorepo, proyectos base, esquema de datos, contenedor y despliegue. Es la base sobre la que se apoyan las demás épicas: hasta que no cierre, ninguna funcionalidad puede integrarse de extremo a extremo.","","","High","epica",""
"Epic","Autenticación y cuenta","Autenticación y cuenta","","Registro, inicio de sesión, sesión persistente, verificación de correo y recuperación de contraseña. El comensal puede explorar sin cuenta; la autenticación se exige solo al reservar.","","","High","epica",""
"Epic","Carta digital","Carta digital","","Consulta de la carta por parte del comensal. La carta depende de la fecha: muestra los platos habilitados para el día que se consulte, no una lista fija.","","","High","epica",""
"Epic","Administración de carta y calendario","Administración de carta y calendario","","Todo lo que el dueño mantiene para que la carta y el calendario reflejen la operación real: categorías, platos, fotos, disponibilidad por fecha y días de atención.","","","High","epica",""
"Epic","Motor de reservas","Motor de reservas","","Cálculo de franjas, validación de aforo y flujo de solicitud con pedido opcional. Es el núcleo técnico del proyecto y el de mayor riesgo de concurrencia.","","","High","epica",""
"Epic","Aprobación y operación del servicio","Aprobación y operación del servicio","","Lo que hace el dueño y el personal: revisar solicitudes, aprobar o rechazar tras verificar el pago, copiar el ticket para la cocina y operar la agenda durante el servicio.","","","High","epica",""
"Epic","Noticias y contenido","Noticias y contenido","","Muro de publicaciones con imagen, texto y enlaces, más la pantalla Proximamente. Para este cliente la comunicacion pesa tanto como la reserva.","","","High","epica",""
"Epic","Difusion, capa web y deep links","Difusion, capa web y deep links","","Capa web con metadatos Open Graph para que un plato compartido por WhatsApp se vea con su fotografia, y App Links para que el enlace abra la aplicacion.","","","High","epica",""
"Epic","Notificaciones","Notificaciones","","Avisos al comensal y al dueno, por push y por correo, incluso con la aplicacion cerrada. Incluye recordatorios y procesos programados de expiracion e inasistencia.","","","High","epica",""
"Epic","Seguridad y control de acceso","Seguridad y control de acceso","","Guardias por rol, segundo factor TOTP sobre acciones sensibles y bitacora de acciones administrativas.","","","High","epica",""
"Epic","Calidad, entrega y sustentacion","Calidad, entrega y sustentacion","","Integracion continua, pruebas, estabilizacion, documentacion y preparacion de la sustentacion academica.","","","High","epica",""
"Story","Configurar monorepo, convenciones y estructura de proyectos","","Plataforma y cimientos","OBJETIVO
Dejar el repositorio listo para que los tres proyectos convivan y el equipo trabaje con las mismas reglas.

CRITERIOS DE ACEPTACION
- El monorepo contiene apps/mobile, apps/api, apps/web y packages/shared
- Estan configurados linting y formateo automatico en los tres proyectos
- El README explica como levantar cada proyecto desde cero
- Existe .env.example documentado, y .env esta ignorado por git","3","Sprint 1","High","infra",""
"Story","Inicializar la app React Native con navegacion de cinco destinos","","Plataforma y cimientos","OBJETIVO
Tener la aplicacion corriendo en Android con el esqueleto de navegacion definitivo.

CRITERIOS DE ACEPTACION
- El proyecto se inicializa con @react-native-community/cli sobre React Native 0.87
- La Nueva Arquitectura y Hermes estan activos
- La barra inferior tiene cinco destinos: Carta, Reservas, Noticias (boton central), Proximamente y Ajustes
- El tema claro y oscuro se resuelve con fichas de diseno, sin colores literales en los componentes
- La orientacion esta fijada en vertical

TRAZABILIDAD
Sprint0 §13.1","8","Sprint 1","Highest","movil",""
"Story","Configurar i18n y externalizar los textos desde el primer commit","","Plataforma y cimientos","OBJETIVO
Cumplir la condicion del cliente de que ningun texto de interfaz este escrito en el codigo.

CRITERIOS DE ACEPTACION
- i18next esta configurado con espanol como idioma inicial
- Todos los textos de las pantallas existentes provienen de archivos de recursos
- Existe una verificacion o convencion documentada para detectar literales antes de integrar
- Los formatos de moneda (COP sin decimales) y fecha (dd/mm/aaaa) estan centralizados en utilidades

TRAZABILIDAD
RNF-03, ADR-009","3","Sprint 1","High","movil",""
"Story","Inicializar la API NestJS en contenedor","","Plataforma y cimientos","OBJETIVO
Que el backend corra igual en la maquina de cualquier integrante y en la VPS.

CRITERIOS DE ACEPTACION
- El proyecto NestJS arranca con Dockerfile y docker-compose
- Swagger expone la especificacion en /api/docs
- Existe un filtro global de excepciones con respuesta uniforme
- El prefijo de rutas es /api/v1

TRAZABILIDAD
RNF-12, ADR-008","5","Sprint 1","Highest","backend,infra",""
"Story","Definir el esquema de Prisma y aplicar la primera migracion","","Plataforma y cimientos","OBJETIVO
Llevar el modelo de datos del documento de diseno a una base real.

CRITERIOS DE ACEPTACION
- El esquema incluye todas las entidades de Sprint0 §9.1
- Las enumeraciones de estado, rol y tipo de notificacion estan declaradas
- La migracion se aplica sobre Supabase y queda versionada en el repositorio
- Estan creados los indices frecuentes de §9.3
- RLS queda habilitado con negacion por defecto en todas las tablas

TRAZABILIDAD
Sprint0 §9","8","Sprint 1","Highest","backend,datos",""
"Story","Cargar datos de siembra realistas","","Plataforma y cimientos","OBJETIVO
Poder probar la aplicacion con contenido verosimil desde el primer dia.

CRITERIOS DE ACEPTACION
- Existen restaurante, zonas y mesas con capacidades reales
- Hay al menos 15 platos con nombre, descripcion y precio verosimiles
- El calendario tiene marcados los proximos fines de semana y festivos
- Existen las tres cuentas de prueba: comensal, staff y dueno","3","Sprint 1","Medium","backend,datos",""
"Story","Implementar registro, inicio de sesion, refresco y cierre de sesion","","Autenticación y cuenta","OBJETIVO
Que una persona pueda crear su cuenta y entrar a la aplicacion.

CRITERIOS DE ACEPTACION
- El registro pide nombre, correo, telefono y contrasena, y valida en linea
- Las contrasenas se almacenan con Argon2id
- El inicio de sesion emite un token de acceso corto y un token de refresco rotatorio
- El cierre de sesion invalida el token de refresco de ese dispositivo
- El error de credenciales no revela cual de los dos campos fallo

TRAZABILIDAD
RF-AUT01, RF-AUT03, RF-AUT04","8","Sprint 1","Highest","backend,movil",""
"Story","Guardar el token de refresco de forma segura y renovar la sesion sin friccion","","Autenticación y cuenta","OBJETIVO
Que la sesion sobreviva al cierre de la aplicacion sin exponer credenciales.

CRITERIOS DE ACEPTACION
- El token de refresco se guarda en Keystore mediante react-native-keychain
- Un interceptor renueva el token de acceso de forma transparente al recibir 401
- Si el refresco falla, la aplicacion vuelve al inicio de sesion sin perder el contexto
- El comensal puede navegar carta y noticias sin sesion iniciada

TRAZABILIDAD
RNF-06, RF-AUT08","5","Sprint 1","High","movil",""
"Story","Proteger los endpoints con guardia de roles","","Seguridad y control de acceso","OBJETIVO
Que la autorizacion viva en el servidor y no dependa de la interfaz.

CRITERIOS DE ACEPTACION
- Existe RolesGuard aplicable por endpoint
- Los roles COMENSAL, STAFF y ADMIN estan diferenciados
- Un usuario sin rol suficiente recibe 403, aunque la pantalla estuviera visible
- Hay una prueba que verifica el rechazo por rol insuficiente

TRAZABILIDAD
RNF-08, ADR-006","3","Sprint 1","High","backend",""
"Story","Desplegar el contenedor del backend en la VPS","","Plataforma y cimientos","OBJETIVO
Tener un entorno de produccion desde temprano, no al final del semestre.

CRITERIOS DE ACEPTACION
- La imagen se construye y se ejecuta en la VPS
- El dominio responde por HTTPS
- Las variables de entorno de produccion estan configuradas fuera del repositorio
- El procedimiento de despliegue queda documentado

TRAZABILIDAD
ADR-008","5","Sprint 1","High","infra",""
"Story","Mostrar la carta agrupada por categorias","","Carta digital","OBJETIVO
Que el comensal recorra la carta con comodidad y llegue al detalle en un toque.

CRITERIOS DE ACEPTACION
- Las categorias activas aparecen en el orden configurado
- Cada plato muestra foto, nombre, descripcion breve y precio en COP
- La lista esta virtualizada y se desplaza con fluidez con al menos 100 platos
- Los platos no disponibles para la fecha consultada se presentan atenuados y con insignia

TRAZABILIDAD
RF-MEN01, RF-MEN06","8","Sprint 2","Highest","movil",""
